               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.016357,           0.0060262,            0.016113,             0.95736,             0.97394,             0.98471,             0.94435,           0.0026949,           0.0013165,            0.001356,            0.004753,            0.004753,            0.004753
                  55,            0.015148,            0.005893,            0.016895,              0.9657,             0.96016,             0.97252,             0.92745,           0.0024496,           0.0014221,           0.0014253,            0.004654,            0.004654,            0.004654
                  56,            0.014314,           0.0056742,            0.015631,             0.96743,             0.96948,             0.97657,             0.92549,            0.002758,            0.001444,           0.0012975,            0.004555,            0.004555,            0.004555
                  57,            0.015434,           0.0058902,            0.016227,             0.96801,             0.96885,              0.9732,              0.9217,           0.0026805,            0.001469,           0.0012283,            0.004456,            0.004456,            0.004456
                  58,            0.016062,           0.0059379,            0.015958,             0.98108,             0.97837,             0.98944,             0.96308,           0.0023297,           0.0012619,           0.0011413,            0.004357,            0.004357,            0.004357
                  59,            0.015034,           0.0058289,            0.016032,              0.9811,             0.96649,             0.97943,             0.94092,           0.0023785,           0.0012958,           0.0012231,            0.004258,            0.004258,            0.004258
                  60,             0.01293,           0.0055296,            0.012073,             0.98073,             0.98093,             0.98512,             0.94757,           0.0022295,           0.0012421,          0.00096876,            0.004159,            0.004159,            0.004159
                  61,            0.014611,           0.0055788,            0.016826,             0.96875,             0.95241,             0.98362,             0.94026,           0.0025481,           0.0013242,            0.001742,             0.00406,             0.00406,             0.00406
                  62,            0.014219,           0.0057093,            0.014903,             0.97863,              0.9694,             0.99113,             0.94874,            0.002288,           0.0011932,          0.00099859,            0.003961,            0.003961,            0.003961
                  63,            0.013955,           0.0056178,            0.013016,             0.97193,             0.97243,             0.98512,             0.93664,           0.0025467,           0.0014112,           0.0010659,            0.003862,            0.003862,            0.003862
                  64,            0.014403,           0.0055913,            0.015052,             0.98119,             0.97277,             0.99201,             0.95024,           0.0026031,            0.001299,           0.0011615,            0.003763,            0.003763,            0.003763
                  65,            0.014542,           0.0056193,             0.01461,             0.98406,             0.97262,             0.98277,             0.95568,            0.002325,            0.001329,            0.001237,            0.003664,            0.003664,            0.003664
                  66,            0.014316,           0.0053803,            0.013794,             0.98996,             0.98259,             0.99318,             0.94866,            0.002118,           0.0011987,          0.00093843,            0.003565,            0.003565,            0.003565
                  67,            0.013827,           0.0056137,            0.013033,             0.98609,             0.96997,             0.99222,             0.96282,           0.0020074,            0.001213,           0.0012102,            0.003466,            0.003466,            0.003466
                  68,            0.013883,            0.005498,            0.013065,             0.97956,             0.97639,             0.99272,              0.9676,           0.0019182,           0.0012527,           0.0011863,            0.003367,            0.003367,            0.003367
                  69,            0.013034,           0.0054464,            0.012733,             0.98338,             0.96899,             0.98266,             0.95099,           0.0020726,           0.0012635,           0.0012434,            0.003268,            0.003268,            0.003268
                  70,             0.01245,           0.0052841,            0.011924,             0.98754,             0.97945,             0.98238,             0.95774,           0.0017611,            0.001212,          0.00095353,            0.003169,            0.003169,            0.003169
                  71,             0.01314,           0.0053484,            0.015364,             0.98097,             0.97108,             0.97923,             0.95143,           0.0019734,           0.0011969,           0.0008188,             0.00307,             0.00307,             0.00307
                  72,             0.01314,           0.0053675,            0.011651,             0.98771,             0.99351,             0.99467,             0.98064,           0.0019204,           0.0012879,          0.00070569,            0.002971,            0.002971,            0.002971
                  73,             0.01274,           0.0052686,            0.011618,              0.9865,             0.98332,             0.99369,             0.94852,           0.0020364,           0.0012014,          0.00076206,            0.002872,            0.002872,            0.002872
                  74,            0.012339,           0.0049358,            0.011093,             0.98454,              0.9834,              0.9934,             0.95577,            0.002025,           0.0011665,          0.00068462,            0.002773,            0.002773,            0.002773
                  75,            0.012745,           0.0054211,            0.011905,             0.98614,             0.99608,             0.99332,             0.97345,            0.001728,           0.0011289,          0.00061469,            0.002674,            0.002674,            0.002674
                  76,            0.012307,           0.0051343,            0.012395,             0.97762,             0.98805,             0.99319,             0.97662,           0.0016371,           0.0011046,           0.0006899,            0.002575,            0.002575,            0.002575
                  77,            0.012582,           0.0053978,            0.012361,             0.98603,             0.98572,             0.99356,             0.97024,           0.0017077,           0.0012196,          0.00060996,            0.002476,            0.002476,            0.002476
                  78,            0.012548,           0.0052058,            0.011027,             0.99168,             0.98426,             0.99332,             0.97583,           0.0018871,           0.0013011,          0.00060084,            0.002377,            0.002377,            0.002377
                  79,            0.012057,           0.0051288,            0.011326,             0.98724,             0.98287,              0.9915,              0.9719,           0.0017412,           0.0012054,          0.00060376,            0.002278,            0.002278,            0.002278
                  80,            0.010526,           0.0050737,            0.010038,             0.98717,             0.98458,             0.99333,             0.97873,           0.0018251,           0.0012201,          0.00070265,            0.002179,            0.002179,            0.002179
                  81,            0.011943,           0.0049705,            0.010136,             0.98434,             0.98815,              0.9934,             0.96978,           0.0016586,           0.0011212,          0.00067962,             0.00208,             0.00208,             0.00208
                  82,            0.012804,           0.0049229,            0.011135,             0.98509,              0.9821,             0.98649,             0.96755,           0.0015209,           0.0011976,          0.00067073,            0.001981,            0.001981,            0.001981
